"","id","name","steward","source","length","description","part_of"
"62",NA,"Peak Spor RR","NPS","NPS",1.4,"TestDescription",NA
"63",NA,"Penguin Peak","NPS","NPS",1.4,"TestDescription",NA
"64",NA,"Penguin Creek","NPS","NPS",1.4,"TestDescription",NA
"65",NA,"Peters Valley","NPS","NPS",1.4,"TestDescription",NA
"66",NA,"Picnic Loop","NPS","NPS",1.4,"TestDescription",NA
"67",NA,"Powerline","NPS","NPS",1.4,"TestDescription",NA
"68",NA,"Powerline Access","NPS","NPS",1.4,"TestDescription",NA
"69",NA,"Ptarmigan Valley","NPS","NPS",1.4,"TestDescription",NA
"70",NA,"Ptarmigan Pass","NPS","NPS",1.4,"TestDescription",NA
"71",NA,"Public Use Cabin","NPS","NPS",1.4,"TestDescription",NA
"72",NA,"Rabbit Lake","NPS","NPS",1.4,"TestDescription",NA
"73",NA,"Rapids Camp Loop","NPS","NPS",1.4,"TestDescription",NA
"74",NA,"Rapids Camp Yurt","NPS","NPS",1.4,"TestDescription",NA
"75",NA,"River Loop","NPS","NPS",1.4,"TestDescription",NA
"76",NA,"River Loop Yurt","NPS","NPS",1.4,"TestDescription",NA
"77",NA,"RL Interp","NPS","NPS",1.4,"TestDescription",NA
"78",NA,"RL Interp 2","NPS","NPS",1.4,"TestDescription",NA
"79",NA,"RL Interp 3","NPS","NPS",1.4,"TestDescription",NA
"80",NA,"Rodak Nature Loop","NPS","NPS",1.4,"TestDescription",NA
"81",NA,"Rondevous Peak","NPS","NPS",1.4,"TestDescription",NA
"82",NA,"Rondevous Ridge","NPS","NPS",1.4,"TestDescription",NA
"83",NA,"Ship Lake Pass","NPS","NPS",1.4,"TestDescription",NA
"84",NA,"Silver Fern","NPS","NPS",1.4,"TestDescription",NA
"85",NA,"Snowmobile Entrance","NPS","NPS",1.4,"TestDescription",NA
"86",NA,"Snowmobile Exit","NPS","NPS",1.4,"TestDescription",NA
"87",NA,"South Fork ER","NPS","NPS",1.4,"TestDescription",NA
"88",NA,"South Fork Rim","NPS","NPS",1.4,"TestDescription",NA
"89",NA,"Spencer","NPS","NPS",1.4,"TestDescription",NA
"90",NA,"Spencer Loop","NPS","NPS",1.4,"TestDescription",NA
"91",NA,"Spur 1","NPS","NPS",1.4,"TestDescription",NA
"92",NA,"Spur 2","NPS","NPS",1.4,"TestDescription",NA
"93",NA,"Thunderbird Falls","NPS","NPS",1.4,"TestDescription",NA
"94",NA,"Track 3","NPS","NPS",1.4,"TestDescription",NA
"95",NA,"Track 7","NPS","NPS",1.4,"TestDescription",NA
"96",NA,"Turnagain Arm","NPS","NPS",1.4,"TestDescription",NA
"97",NA,"Turnagain Arm Interpretive","NPS","NPS",1.4,"TestDescription",NA
"98",NA,"Twin Peaks","NPS","NPS",1.4,"TestDescription",NA
"99",NA,"White Spruce","NPS","NPS",1.4,"TestDescription",NA
"100",NA,"Williwaw Lakes","NPS","NPS",1.4,"TestDescription",NA
"101",NA,"Wolverine Peak","NPS","NPS",1.4,"TestDescription",NA
"102",NA,"Wolverine Bowl","NPS","NPS",1.4,"TestDescription",NA
"103",NA,"Wolverine Bowl Loop","NPS","NPS",1.4,"TestDescription",NA
"104",NA,"Yurt Classrom","NPS","NPS",1.4,"TestDescription",NA
"105",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"106",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"107",7,"Out H To Cutoff","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"108",9,"In Cutoff To H","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"109",11,"Inbound","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"110",12,"Out H To Cutoff","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"111",13,"Outbound","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"112",17,"2.5 Km","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"113",22,"Inbound","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"114",23,"Outbound","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"115",27,"Go Again","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"116",30,"Inbound","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"117",32,"2.5 Km","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"118",35,"Mirror Lake Park","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"119",39,"Outbound","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"120",40,"N Connect","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"121",42,"Outbound","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"122",43,"Mirror Lake Park","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"123",44,"School Track","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"124",45,"School Track","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"125",46,"S Connect","NPS","NPS",1.4,"TestDescription","Mirror Lake Ski Trails"
"126",2866,"Mize Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"127",2869,"Chalet Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"128",2871,"Mize Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"129",973,"Sullivan Nature Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"130",976,"Sullivan Nature Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"131",981,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"132",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"133",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"134",96,"Bridge Loop","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"135",99,"Christy Loop","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"136",101,"Bridge Loop","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"137",105,"Bridge Loop","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"138",1569,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"139",1570,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"140",1572,"Tour Of Anchorage","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"141",1587,"Tour Of Anchorage","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"142",1588,"Tour Of Anchorage","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"143",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"144",0,"HILL","NPS","NPS",1.4,"TestDescription","Beach Lake Sled Dog"
"145",0,"HILL","NPS","NPS",1.4,"TestDescription","Beach Lake Sled Dog"
"146",1115,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"147",2959,"Coyote Trail","NPS","NPS",1.4,"TestDescription",NA
"148",2962,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"149",1082,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"150",1083,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"151",1085,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"152",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"153",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"154",439,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"155",440,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"156",441,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"157",451,"Ship Creek","NPS","NPS",1.4,"TestDescription",NA
"158",644,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"159",1272,"UAA Ski","NPS","NPS",1.4,"TestDescription",NA
"160",858,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"161",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"162",1923,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"163",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"164",334,"Bartlett","NPS","NPS",1.4,"TestDescription","Bartlett Ski Trails"
"165",2571,"Inner Loop Trail","NPS","NPS",1.4,"TestDescription",NA
"166",2572,"14 Mile Loop","NPS","NPS",1.4,"TestDescription",NA
"167",2573,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"168",2279,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"169",2280,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"170",2281,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"171",2283,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"172",2284,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"173",2285,"Rondy Cut Off Trail","NPS","NPS",1.4,"TestDescription",NA
"174",2286,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"175",2287,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"176",412,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"177",414,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"178",416,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"179",417,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"180",3274,"Abbott Loop Trail","NPS","NPS",1.4,"TestDescription","Abbott Loop Trail"
"181",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"182",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"183",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"184",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"185",3280,"Abbott Loop Trail","NPS","NPS",1.4,"TestDescription","Abbott Loop Trail"
"186",3282,"Ice Box","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"187",112,"Corral Loop","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"188",115,"Corral Loop","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"189",119,"Corral Loop","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"190",121,"Corral Loop","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"191",140,"Christy Loop","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"192",144,"Christy Loop","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"193",759,"Beaver Pl. Trail","NPS","NPS",1.4,"TestDescription",NA
"194",1173,"Russian Jack Spur","NPS","NPS",1.4,"TestDescription",NA
"195",361,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"196",0,"Hornet's Nest","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"197",0,"Janice's Jive","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"198",1401,"Baxter Bog","NPS","NPS",1.4,"TestDescription",NA
"199",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"200",377,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"201",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"202",379,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"203",383,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"204",384,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"205",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"206",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"207",388,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"208",389,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"209",390,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"210",391,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"211",392,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"212",393,"Centennial","NPS","NPS",1.4,"TestDescription","Centennial Park Trails"
"213",1148,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription",NA
"214",0,"The Hive","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"215",76,"Junkyard","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"216",87,"Junkyard","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"217",88,"Junkyard","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"218",89,"Bridge Loop","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"219",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"220",183,"Sullivan Nature Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"221",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"222",1834,"Outgoing Trail","NPS","NPS",1.4,"TestDescription",NA
"223",1837,"Outgoing Trail","NPS","NPS",1.4,"TestDescription",NA
"224",1573,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"225",1577,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"226",1578,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"227",1582,"Tour Of Anchorage","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"228",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"229",1134,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"230",0,"Queen Bee Loop","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"231",1148,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription",NA
"232",1148,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription",NA
"233",3626,"Upper Gasline Trail","NPS","NPS",1.4,"TestDescription",NA
"234",1617,"Tour Of Anchorage","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"235",2366,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"236",2369,"Homecoming/poleline","NPS","NPS",1.4,"TestDescription",NA
"237",2370,"Beaver Dam Trail","NPS","NPS",1.4,"TestDescription",NA
"238",2371,"Arlene's Way","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"239",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"240",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"241",1244,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"242",1253,"Fish Creek","NPS","NPS",1.4,"TestDescription",NA
"243",0,"Hornet's Nest","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"244",1167,"Russian Jack Spur","NPS","NPS",1.4,"TestDescription",NA
"245",1619,"Mt. View Sch. Trail","NPS","NPS",1.4,"TestDescription",NA
"246",0,"Janice's Jive","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"247",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"248",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"249",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"250",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"251",2666,"Mize Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"252",2667,"Coyote Trail","NPS","NPS",1.4,"TestDescription",NA
"253",2668,"Viewpoint Trail","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"254",1141,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"255",2671,"Lake Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"256",2674,"Mize Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"257",537,"Tour Of Anchorage","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"258",4203,"Mchugh Creek Pedestrian","NPS","NPS",1.4,"TestDescription",NA
"259",4204,"Mchugh Creek Pedestrian","NPS","NPS",1.4,"TestDescription",NA
"260",1920,"Tank Trail","NPS","NPS",1.4,"TestDescription",NA
"261",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"262",335,"Bartlett","NPS","NPS",1.4,"TestDescription","Bartlett Ski Trails"
"263",337,"Bartlett","NPS","NPS",1.4,"TestDescription","Bartlett Ski Trails"
"264",338,"Bartlett","NPS","NPS",1.4,"TestDescription","Bartlett Ski Trails"
"265",339,"Bartlett","NPS","NPS",1.4,"TestDescription","Bartlett Ski Trails"
"266",341,"Bartlett","NPS","NPS",1.4,"TestDescription","Bartlett Ski Trails"
"267",363,"Bragaw","NPS","NPS",1.4,"TestDescription",NA
"268",-2,"Coastal Trail","NPS","NPS",1.4,"TestDescription","Coastal Trail"
"269",0,"The Hive","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"270",0,"Janice's Jive","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"271",0,"Queen Bee Loop","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"272",1122,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"273",3722,"Upper Gasline Trail","NPS","NPS",1.4,"TestDescription","Hillside Ski Trails"
"274",1548,"Tour Of Anchorage","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"275",1128,"Beaver Pl. Trail","NPS","NPS",1.4,"TestDescription",NA
"276",543,"Wonder Park Sch. Trail","NPS","NPS",1.4,"TestDescription",NA
"277",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"278",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"279",0,"Yellow Jacket","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"280",1199,"Russian Jack Spur","NPS","NPS",1.4,"TestDescription",NA
"281",1037,"Russian Jack Spur","NPS","NPS",1.4,"TestDescription","Russian Jack Ski Trails"
"282",2220,"Shield's Trail","NPS","NPS",1.4,"TestDescription",NA
"283",1127,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription",NA
"284",1400,"Baxter Bog","NPS","NPS",1.4,"TestDescription",NA
"285",2229,"Rondy Cut Off Trail","NPS","NPS",1.4,"TestDescription",NA
"286",2230,"Old Rondy Trail","NPS","NPS",1.4,"TestDescription","Tour of Anchorage"
"287",1175,"Beaver Pl. Trail","NPS","NPS",1.4,"TestDescription",NA
"288",0,"Hornet's Nest","NPS","NPS",1.4,"TestDescription","Mt Bike Single Track"
"289",1265,"Goose Lake Trail","NPS","NPS",1.4,"TestDescription",NA
"290",1037,"Russian Jack Spur","NPS","NPS",1.4,"TestDescription","Russian Jack Ski Trails"
"291",1161,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"292",1006,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"293",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"294",3917,"New Seward Hwy. Trail","NPS","NPS",1.4,"TestDescription",NA
"295",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"296",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"297",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"298",4384,"Dimond (South Side)","NPS","NPS",1.4,"TestDescription",NA
"299",899,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"300",1111,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"301",3113,"Old Seward Hwy. Trail","NPS","NPS",1.4,"TestDescription",NA
"302",908,"Tikishla Park Trail","NPS","NPS",1.4,"TestDescription",NA
"303",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"304",-1,"Chester Creek Trail","NPS","NPS",1.4,"TestDescription","Chester Creek Trail"
"305",4785,"Old Seward Hwy. Trail","NPS","NPS",1.4,"TestDescription",NA
"306",4331,"Rover's Run Trail","NPS","NPS",1.4,"TestDescription",NA
"307",3442,"Spencer Loop","NPS","NPS",1.4,"TestDescription","Hillside Ski Trails"
"308",2890,"Chalet Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"309",2891,"Eight Mile Trail","NPS","NPS",1.4,"TestDescription",NA
"310",2893,"2.5 Km Loop","NPS","NPS",1.4,"TestDescription",NA
"311",0,"RABBIT CREEK PARK TRAIL","NPS","NPS",1.4,"TestDescription",NA
"312",3700,"Abbott Trail","NPS","NPS",1.4,"TestDescription","Abbott Trail"
"313",3714,"Abbott Trail","NPS","NPS",1.4,"TestDescription","Abbott Trail"
"314",3914,"Seward Hwy. Trail","NPS","NPS",1.4,"TestDescription",NA
"315",4226,"Nordic Trail","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"316",266,"Appendix","NPS","NPS",1.4,"TestDescription","Beech Lake Ski Trails"
"317",4240,"Moose Meadow Trail","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"318",4259,"Alyeska Highway Trail","NPS","NPS",1.4,"TestDescription","Girdwood Trails"
"319",-6,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"320",3260,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"321",2935,"Lake Loop","NPS","NPS",1.4,"TestDescription","Kincaid Ski Trails"
"322",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"323",1696,"Campbell Creek Trail","NPS","NPS",1.4,"TestDescription","Campbell Creek Trail"
"324",3928,"Old Seward Hwy. Trail","NPS","NPS",1.4,"TestDescription",NA
"325",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"326",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"327",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"328",331,"Bartlett","NPS","NPS",1.4,"TestDescription","Bartlett Ski Trails"
"329",332,"Bartlett","NPS","NPS",1.4,"TestDescription","Bartlett Ski Trails"
"330",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"331",-5,"Glenn Hwy Trail","NPS","NPS",1.4,"TestDescription","Glenn Hwy Trail"
"332",0,"RABBIT CREEK PARK TRAIL","NPS","NPS",1.4,"TestDescription",NA
"333",3400,"Dimond (South Side)","NPS","NPS",1.4,"TestDescription",NA
"334",3400,"Dimond (South Side)","NPS","NPS",1.4,"TestDescription",NA
